postTime,lon,lat,sog,cog,heading,rot
2025-07-01 00:27:21,119.06451666666666,32.23206666666667,0.0,173.9,,
2025-07-01 00:58:37,119.06451666666666,32.23206666666667,0.1,126.5,,
2025-07-01 01:29:46,119.06453333333332,32.23209,0.0,25.7,,
2025-07-01 01:59:46,119.06454666666669,32.232083333333335,0.1,216.9,,
2025-07-01 02:29:46,119.06453333333332,32.23209333333333,0.1,234.8,,
2025-07-01 02:59:46,119.06453333333332,32.23209333333333,0.1,319.3,,
2025-07-01 03:31:05,119.06453333333332,32.232083333333335,0.1,20.6,,
2025-07-01 04:02:18,119.06453333333332,32.232083333333335,0.1,191.2,,
2025-07-01 04:32:52,119.06453333333332,32.232083333333335,0.1,131.2,,
2025-07-01 05:03:27,119.06453333333332,32.232083333333335,0.0,154.8,,
2025-07-01 05:35:27,119.06451666666666,32.232083333333335,0.1,343.6,,
2025-07-01 06:05:46,119.06453333333332,32.23208666666667,0.1,159.5,,
2025-07-01 06:35:46,119.06453333333332,32.2321,0.0,341.5,,
2025-07-01 07:08:24,119.0645,32.2321,0.1,178.8,,
2025-07-01 07:38:58,119.06451666666666,32.2321,0.0,16.1,,
2025-07-01 08:09:27,119.06453333333332,32.2321,0.1,142.9,,
2025-07-01 08:39:58,119.06453333333332,32.2321,0.1,146.0,,
2025-07-01 09:10:00,119.06451666666666,32.2321,0.1,201.4,,
2025-07-01 09:42:49,119.06452,32.2321,0.0,219.6,,
2025-07-01 10:12:49,119.06453333333332,32.232083333333335,0.1,55.1,,
2025-07-01 10:42:49,119.06452,32.23209,0.1,158.6,,
2025-07-01 11:12:49,119.06453333333332,32.2321,0.0,245.8,,
2025-07-01 11:42:49,119.06452,32.23209,0.0,117.7,,
2025-07-01 12:13:44,119.06451666666666,32.232083333333335,0.1,147.8,,
2025-07-01 12:44:16,119.06451666666666,32.23206666666667,0.1,10.4,,
2025-07-01 13:14:44,119.06450666666667,32.23209,0.1,172.4,,
2025-07-01 13:44:44,119.06453333333332,32.23209,0.0,297.8,,
2025-07-01 14:14:44,119.06452,32.232083333333335,0.0,0.8,,
2025-07-01 14:44:44,119.06450666666667,32.232063333333336,0.1,36.7,,
2025-07-01 15:16:03,119.06451666666666,32.232083333333335,0.0,110.4,,
2025-07-01 15:46:36,119.0645,32.23206666666667,0.1,196.0,,
2025-07-01 16:17:53,119.06451666666666,32.23206666666667,0.0,179.6,,
2025-07-01 16:50:39,119.06451666666666,32.23206666666667,0.0,359.2,,
2025-07-01 17:20:42,119.06452,32.23208,0.0,319.5,,
2025-07-01 17:50:42,119.06452,32.23208,0.0,267.2,,
2025-07-01 18:20:42,119.06453333333332,32.232063333333336,0.1,187.5,,
2025-07-01 18:53:38,119.06451666666666,32.232083333333335,0.1,259.9,,
