postTime,lon,lat,sog,cog,heading,rot
2025-07-09T07:15:00,119.0616996275,31.93007564363,6.872,48.25,,
2025-07-09T07:19:08,119.06865446402,31.93532943209,6.895,48.33,,
2025-07-09T07:23:03,119.07527374201,31.94031551575,6.916,48.41,,
2025-07-09T07:27:15,119.0824014168,31.94566952845,6.936,48.48,,
2025-07-09T07:31:06,119.08896046459,31.9505829288,6.954,48.56,,
2025-07-09T07:35:10,119.09591335731,31.95577743919,6.971,48.63,,
2025-07-09T07:39:10,119.10277430589,31.96088995384,6.985,48.71,,
2025-07-09T07:43:18,119.10988417604,31.96617464485,6.997,48.78,,
2025-07-09T07:47:13,119.11663789046,31.97118248227,7.007,48.84,,
2025-07-09T07:51:25,119.12389498676,31.97655110209,7.014,48.91,,
2025-07-09T07:55:16,119.13055805771,31.98146941717,7.018,48.97,,
2025-07-09T07:59:20,119.13760440578,31.98665978234,7.02,49.03,,
2025-07-09T08:03:20,119.14454033928,31.99175878497,7.019,49.08,,
2025-07-09T08:07:28,119.15170958002,31.99701963918,7.015,49.13,,
2025-07-09T08:11:23,119.15850200683,32.00199554307,7.009,49.18,,
2025-07-09T08:15:35,119.16578160768,32.00732004665,7.0,49.22,,
2025-07-09T08:19:26,119.17244790686,32.01218913469,6.989,49.26,,
2025-07-09T08:23:30,119.17947951967,32.01731862772,6.975,49.29,,
2025-07-09T08:27:30,119.18638354704,32.02234954992,6.959,49.32,,
2025-07-09T08:31:38,119.19350247918,32.0275322358,6.941,49.35,,
2025-07-09T08:35:33,119.20023161033,32.03242739395,6.922,49.37,,
2025-07-09T08:39:45,119.20742763256,32.0376590457,6.901,49.38,,
2025-07-09T08:43:36,119.21400404606,32.04243818305,6.878,49.39,,
2025-07-09T08:47:40,119.22092803344,32.04746859383,6.855,49.4,,
2025-07-09T08:51:40,119.22771517559,32.05239914655,6.831,49.4,,
2025-07-09T08:55:48,119.23470354919,32.05747629467,6.807,49.4,,
2025-07-09T08:59:43,119.24130132348,32.06227088648,6.782,49.39,,
2025-07-09T09:03:55,119.24835010507,32.06739537744,6.758,49.37,,
2025-07-09T09:07:46,119.25478741077,32.07207809825,6.734,49.36,,
2025-07-09T09:11:50,119.26156192549,32.0770098416,6.712,49.33,,
2025-07-09T09:15:50,119.26820135889,32.08184769297,6.69,49.31,,
2025-07-09T09:19:58,119.2750382383,32.08683478153,6.669,49.27,,
2025-07-09T09:23:53,119.28149524858,32.09155059906,6.65,49.24,,
2025-07-09T09:28:05,119.28839783884,32.09659881384,6.634,49.2,,
2025-07-09T09:31:56,119.29470703267,32.10122012363,6.619,49.15,,
2025-07-09T09:36:00,119.30135396994,32.10609695661,6.606,49.1,,
2025-07-09T09:40:00,119.30787690259,32.11089145158,6.596,49.05,,
2025-07-09T09:44:08,119.31460395131,32.11584552931,6.588,48.99,,
2025-07-09T09:48:03,119.32096793998,32.12054186869,6.583,48.93,,
2025-07-09T09:52:15,119.32778358255,32.12558239877,6.58,48.87,,
2025-07-09T09:56:06,119.3340255136,32.13020914234,6.58,48.8,,
2025-07-09T10:00:10,119.34061509668,32.13510515367,6.583,48.74,,
2025-07-09T10:04:10,119.34709544098,32.13993184436,6.589,48.66,,
2025-07-09T10:08:18,119.35379293785,32.14493293534,6.597,48.59,,
2025-07-09T10:12:13,119.36014259454,32.14968667463,6.608,48.52,,
2025-07-09T10:16:25,119.36695730002,32.15480219944,6.621,48.44,,
2025-07-09T10:20:16,119.37321121358,32.15950956194,6.636,48.36,,
2025-07-09T10:24:20,119.37982642921,32.16450265457,6.654,48.28,,
2025-07-09T10:28:20,119.38634400196,32.16943582308,6.673,48.2,,
2025-07-09T10:32:28,119.39309145265,32.17455739593,6.693,48.12,,
2025-07-09T10:36:23,119.39949830358,32.17943423812,6.715,48.03,,
2025-07-09T10:40:35,119.40638368397,32.18469019802,6.739,47.95,,
2025-07-09T10:44:26,119.41270971323,32.18953286207,6.762,47.87,,
2025-07-09T10:48:30,119.41940745092,32.19467450162,6.787,47.79,,
2025-07-09T10:52:30,119.42601099103,32.1997579613,6.811,47.71,,
2025-07-09T10:56:38,119.43285068519,32.20503768962,6.835,47.63,,
2025-07-09T11:00:33,119.43934667646,32.21006567342,6.859,47.55,,
2025-07-09T11:04:45,119.446327885,32.21548351899,6.882,47.47,,
2025-07-09T11:08:36,119.4527404986,32.22047296772,6.904,47.4,,
2025-07-09T11:12:40,119.45952683556,32.22576644273,6.925,47.32,,
2025-07-09T11:16:40,119.46621325516,32.23099463373,6.945,47.25,,
2025-07-09T11:20:48,119.47313274732,32.23641768721,6.962,47.18,,
